id,label
607795,CLEAR
726369,UNCLEAR
894160,UNCLEAR
718996,UNCLEAR
748921,UNCLEAR
743532,UNCLEAR
729387,UNCLEAR
99038,UNCLEAR
919740,UNCLEAR
672663,UNCLEAR
962930,CLEAR
164423,UNCLEAR
384062,CLEAR
310893,CLEAR
677105,UNCLEAR
532298,UNCLEAR
368448,CLEAR
412269,UNCLEAR
21868,CLEAR
906458,CLEAR
458751,UNCLEAR
1006383,UNCLEAR
901194,UNCLEAR
491501,CLEAR
352852,CLEAR
116648,CLEAR
957194,UNCLEAR
205800,UNCLEAR
644756,UNCLEAR
271685,CLEAR
1030319,UNCLEAR
928195,UNCLEAR
819388,UNCLEAR
872869,UNCLEAR
826757,UNCLEAR
519284,UNCLEAR
7558,CLEAR
1000632,UNCLEAR
698249,UNCLEAR
637587,UNCLEAR
119302,UNCLEAR
673773,UNCLEAR
725025,CLEAR
775066,CLEAR
857376,UNCLEAR
746316,UNCLEAR
5861,CLEAR
713123,UNCLEAR
405618,CLEAR
1015236,UNCLEAR
973417,UNCLEAR
358585,CLEAR
651533,CLEAR
47634,CLEAR
460485,UNCLEAR
79403,UNCLEAR
830219,UNCLEAR
683234,UNCLEAR
513541,UNCLEAR
387227,UNCLEAR
224455,CLEAR
693438,CLEAR
136909,UNCLEAR
1029262,UNCLEAR
931538,UNCLEAR
93168,CLEAR
599347,UNCLEAR
912018,UNCLEAR
509609,UNCLEAR
24937,UNCLEAR
512366,UNCLEAR
149487,CLEAR
390644,UNCLEAR
889593,UNCLEAR
651315,CLEAR
1020159,UNCLEAR
536657,CLEAR
841626,UNCLEAR
958429,UNCLEAR
954260,UNCLEAR
1024088,UNCLEAR
465116,UNCLEAR
942456,UNCLEAR
298686,UNCLEAR
906496,UNCLEAR
998531,UNCLEAR
434633,UNCLEAR
959330,UNCLEAR
774378,CLEAR
971878,UNCLEAR
711030,UNCLEAR
855303,UNCLEAR
112246,CLEAR
49721,UNCLEAR
897146,UNCLEAR
101895,UNCLEAR
998348,UNCLEAR
734795,UNCLEAR
8447,UNCLEAR
537180,UNCLEAR
493319,UNCLEAR
509127,UNCLEAR
6282,UNCLEAR
601196,UNCLEAR
277760,UNCLEAR
508422,CLEAR
303709,UNCLEAR
504246,UNCLEAR
448198,CLEAR
707706,UNCLEAR
784089,UNCLEAR
19055,CLEAR
655167,UNCLEAR
29626,UNCLEAR
359979,CLEAR
158280,CLEAR
707968,CLEAR
586141,UNCLEAR
855382,UNCLEAR
90305,UNCLEAR
169679,UNCLEAR
859387,UNCLEAR
976285,UNCLEAR
504593,UNCLEAR
349596,UNCLEAR
181735,CLEAR
1307,UNCLEAR
465106,CLEAR
92708,CLEAR
780420,UNCLEAR
457211,UNCLEAR
98523,CLEAR
168170,UNCLEAR
829272,UNCLEAR
719881,CLEAR
50371,UNCLEAR
943204,UNCLEAR
939497,UNCLEAR
595516,UNCLEAR
201720,UNCLEAR
581113,UNCLEAR
368632,CLEAR
247063,UNCLEAR
905516,UNCLEAR
44930,CLEAR
972490,CLEAR
147383,UNCLEAR
963993,UNCLEAR
49578,UNCLEAR
18775,UNCLEAR
170007,UNCLEAR
329223,UNCLEAR
759518,UNCLEAR
531984,UNCLEAR
896197,UNCLEAR
846651,UNCLEAR
1020567,UNCLEAR
401550,CLEAR
936699,UNCLEAR
882624,UNCLEAR
932946,UNCLEAR
490810,CLEAR
183482,UNCLEAR
183537,UNCLEAR
30803,UNCLEAR
3421,CLEAR
369099,UNCLEAR
644654,UNCLEAR
100710,UNCLEAR
84033,UNCLEAR
11468,CLEAR
367449,UNCLEAR
713654,UNCLEAR
872950,CLEAR
851113,UNCLEAR
716951,UNCLEAR
708417,CLEAR
975732,UNCLEAR
802157,UNCLEAR
49731,CLEAR
709639,UNCLEAR
953527,UNCLEAR
74575,UNCLEAR
602546,UNCLEAR
60038,CLEAR
569231,UNCLEAR
87817,UNCLEAR
499382,UNCLEAR
385714,UNCLEAR
331152,UNCLEAR
956336,UNCLEAR
716998,UNCLEAR
925726,UNCLEAR
29731,CLEAR
989003,UNCLEAR
854941,UNCLEAR
330798,UNCLEAR
752092,CLEAR
99865,UNCLEAR
160647,UNCLEAR
621692,CLEAR
894515,UNCLEAR
407093,UNCLEAR
532744,UNCLEAR
637081,UNCLEAR
689659,UNCLEAR
542735,UNCLEAR
919895,CLEAR
995522,UNCLEAR
802812,UNCLEAR
347537,UNCLEAR
778447,CLEAR
620789,UNCLEAR
145868,CLEAR
470641,CLEAR
1037079,CLEAR
227792,UNCLEAR
12414,UNCLEAR
476112,UNCLEAR
997250,UNCLEAR
913765,UNCLEAR
761209,UNCLEAR
999999,UNCLEAR
709231,UNCLEAR
809216,UNCLEAR
81621,UNCLEAR
772615,UNCLEAR
44851,CLEAR
507378,UNCLEAR
61649,UNCLEAR
834175,CLEAR
88368,UNCLEAR
316894,UNCLEAR
335495,UNCLEAR
1013486,UNCLEAR
949338,UNCLEAR
384569,UNCLEAR
390053,UNCLEAR
953974,UNCLEAR
909943,UNCLEAR
491150,UNCLEAR
848366,UNCLEAR
655076,UNCLEAR
277163,UNCLEAR
895442,UNCLEAR
101574,UNCLEAR
964285,UNCLEAR
753326,UNCLEAR
771273,UNCLEAR
694076,UNCLEAR
631851,UNCLEAR
886303,UNCLEAR
1023329,UNCLEAR
427663,UNCLEAR
43831,UNCLEAR
361720,UNCLEAR
163992,UNCLEAR
256260,UNCLEAR
939356,UNCLEAR
922641,UNCLEAR
888966,UNCLEAR
868279,UNCLEAR
85189,UNCLEAR
66224,UNCLEAR
51646,UNCLEAR
452186,CLEAR
175510,UNCLEAR
331558,CLEAR
200904,CLEAR
736293,UNCLEAR
486597,CLEAR
253520,CLEAR
785124,UNCLEAR
733529,UNCLEAR
174387,CLEAR
856458,UNCLEAR
470839,CLEAR
581128,CLEAR
434154,CLEAR
710288,CLEAR
872914,UNCLEAR
463,UNCLEAR
851725,CLEAR
291144,CLEAR
611766,CLEAR
66611,UNCLEAR
227856,UNCLEAR
663982,CLEAR
264053,CLEAR
832754,UNCLEAR
629916,UNCLEAR
434231,UNCLEAR
944087,UNCLEAR
1024265,UNCLEAR
64935,UNCLEAR
649298,UNCLEAR
550076,UNCLEAR
990851,CLEAR
214164,UNCLEAR
954305,UNCLEAR
436390,UNCLEAR
716638,CLEAR
549513,CLEAR
336141,UNCLEAR
314259,UNCLEAR
400731,CLEAR
663529,CLEAR
61423,UNCLEAR
476256,UNCLEAR
451261,CLEAR
694069,UNCLEAR
1000013,UNCLEAR
501339,UNCLEAR
464839,CLEAR
811809,UNCLEAR
959218,UNCLEAR
610891,UNCLEAR
769538,UNCLEAR
503301,UNCLEAR
501641,UNCLEAR
288842,UNCLEAR
16031,CLEAR
1001836,UNCLEAR
104393,CLEAR
843150,CLEAR
624244,UNCLEAR
807858,UNCLEAR
719131,UNCLEAR
596528,CLEAR
603718,UNCLEAR
988057,UNCLEAR
973926,UNCLEAR
476072,CLEAR
1010783,CLEAR
784587,UNCLEAR
195045,UNCLEAR
816604,UNCLEAR
65146,CLEAR
646863,UNCLEAR
500910,UNCLEAR
464987,UNCLEAR
37520,CLEAR
706036,UNCLEAR
929295,UNCLEAR
969773,UNCLEAR
756619,UNCLEAR
892707,UNCLEAR
311117,UNCLEAR
161198,CLEAR
450018,UNCLEAR
605899,UNCLEAR
965247,UNCLEAR
845420,UNCLEAR
754201,UNCLEAR
925297,UNCLEAR
596094,UNCLEAR
8351,CLEAR
264200,UNCLEAR
617750,UNCLEAR
43709,CLEAR
438953,UNCLEAR
240629,UNCLEAR
204289,UNCLEAR
1005516,UNCLEAR
340324,CLEAR
783795,UNCLEAR
804513,CLEAR
159086,UNCLEAR
79051,CLEAR
927208,UNCLEAR
234849,CLEAR
841943,CLEAR
937621,UNCLEAR
44923,CLEAR
436094,UNCLEAR
1020607,UNCLEAR
898018,UNCLEAR
687526,CLEAR
122824,UNCLEAR
962425,UNCLEAR
312409,CLEAR
617383,CLEAR
909910,UNCLEAR
647040,UNCLEAR
977486,UNCLEAR
872689,UNCLEAR
701825,UNCLEAR
925325,CLEAR
115131,CLEAR
990141,UNCLEAR
181302,UNCLEAR
301778,CLEAR
802198,UNCLEAR
785974,CLEAR
500603,UNCLEAR
257262,CLEAR
790257,UNCLEAR
1011840,UNCLEAR
981629,UNCLEAR
958217,UNCLEAR
564590,CLEAR
971251,UNCLEAR
252633,UNCLEAR
833465,UNCLEAR
727583,UNCLEAR
808524,CLEAR
1039694,UNCLEAR
13508,CLEAR
267958,CLEAR
349001,CLEAR
918270,UNCLEAR
299153,UNCLEAR
771655,UNCLEAR
702438,UNCLEAR
225862,UNCLEAR
983381,UNCLEAR
350381,CLEAR
424652,UNCLEAR
761271,UNCLEAR
985105,UNCLEAR
597487,CLEAR
303771,CLEAR
542485,UNCLEAR
660827,CLEAR
847060,UNCLEAR
54309,UNCLEAR
419770,UNCLEAR
210942,UNCLEAR
766612,UNCLEAR
233656,CLEAR
223771,CLEAR
966940,UNCLEAR
164990,UNCLEAR
406258,UNCLEAR
781677,CLEAR
867028,UNCLEAR
545909,CLEAR
983580,UNCLEAR
780861,CLEAR
786897,CLEAR
239827,UNCLEAR
21379,UNCLEAR
771599,UNCLEAR
806262,UNCLEAR
554478,CLEAR
879326,UNCLEAR
411001,CLEAR
790570,UNCLEAR
332474,UNCLEAR
788033,UNCLEAR
777178,CLEAR
878039,UNCLEAR
972142,UNCLEAR
922658,UNCLEAR
937995,UNCLEAR
671242,UNCLEAR
910501,UNCLEAR
602400,CLEAR
732329,CLEAR
987567,UNCLEAR
439724,UNCLEAR
89383,UNCLEAR
297400,UNCLEAR
23912,CLEAR
279706,CLEAR
825041,UNCLEAR
966144,UNCLEAR
1020286,UNCLEAR
828779,CLEAR
135013,CLEAR
610938,UNCLEAR
890319,UNCLEAR
886069,UNCLEAR
926933,CLEAR
284557,CLEAR
1029884,UNCLEAR
610401,UNCLEAR
430000,UNCLEAR
715070,CLEAR
643724,CLEAR
937334,UNCLEAR
501965,CLEAR
826596,UNCLEAR
302831,UNCLEAR
64482,CLEAR
320080,UNCLEAR
929845,UNCLEAR
1014445,UNCLEAR
1009424,UNCLEAR
646542,UNCLEAR
987146,UNCLEAR
860904,UNCLEAR
646898,UNCLEAR
797780,UNCLEAR
869762,UNCLEAR
1009435,UNCLEAR
75372,CLEAR
133229,CLEAR
774686,CLEAR
693093,UNCLEAR
310762,CLEAR
554912,UNCLEAR
230574,UNCLEAR
287154,UNCLEAR
828548,UNCLEAR
818919,UNCLEAR
677910,UNCLEAR
898578,UNCLEAR
354658,UNCLEAR
237883,UNCLEAR
878553,UNCLEAR
456439,UNCLEAR
126969,CLEAR
18139,UNCLEAR
143532,UNCLEAR
298177,UNCLEAR
636221,UNCLEAR
55784,UNCLEAR
469089,UNCLEAR
709710,UNCLEAR
75593,UNCLEAR
846681,UNCLEAR
614402,UNCLEAR
185635,CLEAR
1019172,UNCLEAR
49404,UNCLEAR
900816,UNCLEAR
779835,UNCLEAR
618122,UNCLEAR
824662,UNCLEAR
836270,UNCLEAR
496418,UNCLEAR
1033839,UNCLEAR
920238,UNCLEAR
822352,UNCLEAR
399628,UNCLEAR
706086,UNCLEAR
712158,UNCLEAR
937320,UNCLEAR
1041646,UNCLEAR
38456,UNCLEAR
889429,UNCLEAR
421984,UNCLEAR
828557,UNCLEAR
677979,UNCLEAR
964248,UNCLEAR
1026688,UNCLEAR
534812,UNCLEAR
405775,UNCLEAR
572498,UNCLEAR
1035383,CLEAR
710576,UNCLEAR
523560,UNCLEAR
736817,UNCLEAR
68693,UNCLEAR
357362,UNCLEAR
270599,UNCLEAR
874090,UNCLEAR
991643,CLEAR
953678,CLEAR
807872,UNCLEAR
906270,UNCLEAR
294349,UNCLEAR
229349,UNCLEAR
6392,CLEAR
381726,CLEAR
912976,UNCLEAR
719741,UNCLEAR
367396,CLEAR
363862,CLEAR
452783,UNCLEAR
338961,UNCLEAR
833923,UNCLEAR
907133,UNCLEAR
832568,CLEAR
98343,CLEAR
725585,CLEAR
219060,UNCLEAR
805522,CLEAR
236533,UNCLEAR
129416,UNCLEAR
997069,UNCLEAR
69742,UNCLEAR
433329,UNCLEAR
903396,UNCLEAR
747833,UNCLEAR
326977,UNCLEAR
1042199,UNCLEAR
852051,UNCLEAR
948672,UNCLEAR
195708,UNCLEAR
1009897,UNCLEAR
1028354,CLEAR
603456,UNCLEAR
772042,UNCLEAR
991100,UNCLEAR
493862,UNCLEAR
999149,CLEAR
422833,CLEAR
713077,UNCLEAR
629821,UNCLEAR
686881,CLEAR
812765,UNCLEAR
272429,UNCLEAR
465590,UNCLEAR
1003358,UNCLEAR
33328,CLEAR
439055,UNCLEAR
991097,CLEAR
825294,UNCLEAR
177566,CLEAR
34828,CLEAR
54084,CLEAR
652515,UNCLEAR
312647,CLEAR
985800,UNCLEAR
591071,UNCLEAR
233509,CLEAR
1026992,UNCLEAR
1018205,UNCLEAR
456056,UNCLEAR
486609,UNCLEAR
446180,CLEAR
151202,CLEAR
857674,UNCLEAR
132255,CLEAR
269266,UNCLEAR
766552,UNCLEAR
972557,UNCLEAR
897324,UNCLEAR
422548,CLEAR
642267,UNCLEAR
397432,UNCLEAR
738858,UNCLEAR
923023,UNCLEAR
206580,UNCLEAR
197248,CLEAR
881565,UNCLEAR
796649,CLEAR
844178,CLEAR
795293,CLEAR
610228,UNCLEAR
797611,UNCLEAR
739070,CLEAR
948145,UNCLEAR
489496,UNCLEAR
127528,UNCLEAR
516392,UNCLEAR
967029,CLEAR
1036606,UNCLEAR
694213,UNCLEAR
46319,CLEAR
549777,UNCLEAR
1020929,UNCLEAR
1031989,UNCLEAR
879573,UNCLEAR
466699,CLEAR
600872,UNCLEAR
1039245,UNCLEAR
163215,CLEAR
290412,UNCLEAR
1028177,UNCLEAR
484049,UNCLEAR
58027,CLEAR
112934,UNCLEAR
963213,UNCLEAR
19589,CLEAR
920851,UNCLEAR
10753,CLEAR
657722,CLEAR
341980,CLEAR
920372,UNCLEAR
481688,CLEAR
107665,CLEAR
640509,UNCLEAR
287642,UNCLEAR
314371,UNCLEAR
689713,CLEAR
796670,CLEAR
798031,UNCLEAR
785859,UNCLEAR
450062,CLEAR
941697,UNCLEAR
