id,label
35459,UNCLEAR
22230,UNCLEAR
135180,UNCLEAR
309421,UNCLEAR
7594,UNCLEAR
347994,UNCLEAR
86123,UNCLEAR
139385,UNCLEAR
12415,UNCLEAR
252368,CLEAR
8349,UNCLEAR
73319,UNCLEAR
199436,UNCLEAR
45033,UNCLEAR
116910,UNCLEAR
35049,UNCLEAR
183569,UNCLEAR
72535,UNCLEAR
208044,UNCLEAR
160927,UNCLEAR
276793,UNCLEAR
138733,CLEAR
82120,UNCLEAR
320265,UNCLEAR
205032,UNCLEAR
82320,UNCLEAR
208842,CLEAR
164067,UNCLEAR
183513,CLEAR
4337,UNCLEAR
109445,UNCLEAR
39187,UNCLEAR
245813,UNCLEAR
243621,UNCLEAR
282129,UNCLEAR
338356,UNCLEAR
310722,UNCLEAR
136738,UNCLEAR
222375,UNCLEAR
100251,UNCLEAR
192168,UNCLEAR
279984,UNCLEAR
14048,UNCLEAR
32044,CLEAR
137005,UNCLEAR
22391,UNCLEAR
139697,UNCLEAR
268828,UNCLEAR
197762,UNCLEAR
102616,UNCLEAR
2337,UNCLEAR
39018,UNCLEAR
276135,UNCLEAR
105867,UNCLEAR
90203,UNCLEAR
258090,CLEAR
328041,UNCLEAR
135738,UNCLEAR
211520,UNCLEAR
78521,UNCLEAR
228400,UNCLEAR
57549,UNCLEAR
27322,UNCLEAR
161984,UNCLEAR
272260,UNCLEAR
62307,UNCLEAR
9817,UNCLEAR
35640,UNCLEAR
332969,UNCLEAR
91752,UNCLEAR
316818,UNCLEAR
115677,CLEAR
321137,UNCLEAR
269947,CLEAR
264911,UNCLEAR
233484,UNCLEAR
146487,UNCLEAR
141884,UNCLEAR
92604,UNCLEAR
338590,UNCLEAR
241737,UNCLEAR
128667,UNCLEAR
310460,UNCLEAR
166474,UNCLEAR
34874,UNCLEAR
129928,UNCLEAR
325575,UNCLEAR
113432,UNCLEAR
203212,UNCLEAR
126351,UNCLEAR
259418,UNCLEAR
245051,UNCLEAR
76552,UNCLEAR
52761,UNCLEAR
127415,UNCLEAR
257898,UNCLEAR
184439,CLEAR
309873,UNCLEAR
2891,UNCLEAR
225434,UNCLEAR
86343,UNCLEAR
